iter	Passed	Remaining
0	1	202
1	3	228
2	4	233
3	6	233
4	7	231
5	9	228
6	11	225
7	12	222
8	14	219
9	15	218
10	17	217
11	18	216
12	20	215
13	22	216
14	23	215
15	25	214
16	27	212
17	28	211
18	30	210
19	32	208
20	33	206
21	35	204
22	36	203
23	38	202
24	40	201
25	41	199
26	43	198
27	45	196
28	46	195
29	48	194
30	50	192
31	51	191
32	54	191
33	55	190
34	57	189
35	59	188
36	61	186
37	62	184
38	64	183
39	65	181
40	67	180
41	69	179
42	71	177
43	73	176
44	74	174
45	76	173
46	78	171
47	80	170
48	81	168
49	83	166
50	84	164
51	86	163
52	88	162
53	90	160
54	91	158
55	93	157
56	95	155
57	96	153
58	98	151
59	99	149
60	101	148
61	104	147
62	105	146
63	107	144
64	109	142
65	110	140
66	112	139
67	113	137
68	115	135
69	116	133
70	118	132
71	120	130
72	122	129
73	124	127
74	126	126
75	127	124
76	129	122
77	130	120
78	132	118
79	134	117
80	136	116
81	137	114
82	139	112
83	141	111
84	142	109
85	144	107
86	145	105
87	147	103
88	149	102
89	150	100
90	152	98
91	154	97
92	156	95
93	157	94
94	159	92
95	161	90
96	162	88
97	164	87
98	165	85
99	167	83
100	169	82
101	171	80
102	172	78
103	174	77
104	175	75
105	177	73
106	179	71
107	180	70
108	182	68
109	184	67
110	185	65
111	187	63
112	189	61
113	190	60
114	192	58
115	193	56
116	195	55
117	196	53
118	198	51
119	201	50
120	203	48
121	204	46
122	206	45
123	208	43
124	209	41
125	211	40
126	212	38
127	214	36
128	216	35
129	218	33
130	220	31
131	221	30
132	223	28
133	224	26
134	226	25
135	227	23
136	229	21
137	231	20
138	233	18
139	234	16
140	236	15
141	237	13
142	239	11
143	241	10
144	242	8
145	244	6
146	245	5
147	247	3
148	249	1
149	250	0
